,POS,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w,year,TeamName,unique,imaged_url
294,79,Ishan Porel,1,1,4.0,39,1,1/39,39.0,9.75,24.0,0,0,2021,PBKS,ishanporel,https://scores.iplt20.com/ipl/playerimages/Ishan%20Porel.png
295,80,Daniel Sams,2,2,6.0,39,1,1/24,39.0,6.5,36.0,0,0,2021,RCB,danielsams,https://scores.iplt20.com/ipl/playerimages/Daniel%20Sams.png
296,81,Ishant Sharma,3,3,12.0,97,1,5/12,97.0,8.08,72.0,0,0,2021,DC,ishantsharma,https://scores.iplt20.com/ipl/playerimages/Ishant%20Sharma.png
297,82,Kane Richardson,1,1,3.0,29,1,3/13,29.0,9.66,18.0,0,0,2021,RCB,kanerichardson,https://scores.iplt20.com/ipl/playerimages/Kane%20Richardson.png
298,83,KM Asif,1,1,2.0,18,1,2/43,18.0,8.3,13.0,0,0,2021,CSK,kmasif,https://scores.iplt20.com/ipl/playerimages/KM%20Asif.png
299,84,Shahbaz Nadeem,1,1,4.0,36,1,3/16,36.0,9.0,24.0,0,0,2021,SRH,shahbaznadeem,https://scores.iplt20.com/ipl/playerimages/Shahbaz%20Nadeem.png
300,85,Lukman Meriwala,1,1,3.0,32,1,1/32,32.0,10.66,18.0,0,0,2021,DC,lukmanmeriwala,https://scores.iplt20.com/ipl/playerimages/Lukman%20Meriwala.png
301,86,Mahipal Lomror,4,4,7.0,47,1,1/22,47.0,6.71,42.0,0,0,2021,RR,mahipallomror,https://scores.iplt20.com/ipl/playerimages/Mahipal%20Lomror.png
302,87,Riyan Parag,11,6,6.0,73,1,1/10,73.0,11.83,37.0,0,0,2021,RR,riyanparag,https://scores.iplt20.com/ipl/playerimages/Riyan%20Parag.png
303,88,Murugan Ashwin,3,3,11.0,97,1,3/21,97.0,8.81,66.0,0,0,2021,PBKS,muruganashwin,https://scores.iplt20.com/ipl/playerimages/Murugan%20Ashwin.png
304,89,Nathan Ellis,3,3,12.0,98,1,1/20,98.0,8.16,72.0,0,0,2021,PBKS,nathanellis,https://scores.iplt20.com/ipl/playerimages/Nathan%20Ellis.png
