,POS,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w,year,TeamName,unique,imaged_url
382,78,Abdul Samad,12,3,7.0,96,1,1/41,96.0,13.71,42.0,0,0,2020,SRH,abdulsamad,https://scores.iplt20.com/ipl/playerimages/Abdul%20Samad.png
383,1,Imran Tahir,17,17,64.0,431,26,4/12,16.57,6.69,14.84,2,0,2019,CSK,imrantahir,https://scores.iplt20.com/ipl/playerimages/Imran%20Tahir.png
384,2,Kagiso Rabada,12,12,47.0,368,25,4/21,14.72,7.82,11.28,2,0,2019,DC,kagisorabada,https://scores.iplt20.com/ipl/playerimages/Kagiso%20Rabada.png
385,3,Deepak Chahar,17,17,64.0,482,22,4/13,21.9,7.47,17.59,0,0,2019,CSK,deepakchahar,https://scores.iplt20.com/ipl/playerimages/Deepak%20Chahar.png
386,4,Shreyas Gopal,14,14,48.0,347,20,4/16,17.35,7.22,14.4,0,0,2019,RR,shreyasgopal,https://scores.iplt20.com/ipl/playerimages/Shreyas%20Gopal.png
387,5,Mohammad Shami,14,14,54.0,469,19,3/15,24.68,8.68,17.05,0,0,2019,PBKS,mohammadshami,https://scores.iplt20.com/ipl/playerimages/Mohammad%20Shami.png
388,6,Khaleel Ahmed,9,9,35.0,287,19,3/21,15.1,8.23,11.0,0,0,2019,SRH,khaleelahmed,https://scores.iplt20.com/ipl/playerimages/Khaleel%20Ahmed.png
389,7,Jasprit Bumrah,16,16,61.0,409,19,4/14,21.52,6.63,19.47,0,0,2019,MI,jaspritbumrah,https://scores.iplt20.com/ipl/playerimages/Jasprit%20Bumrah.png
390,8,Yuzvendra Chahal,14,14,49.0,386,18,4/25,21.44,7.82,16.44,1,0,2019,RCB,yuzvendrachahal,https://scores.iplt20.com/ipl/playerimages/Yuzvendra%20Chahal.png
391,9,Rashid Khan,15,15,60.0,377,17,3/19,22.17,6.28,21.17,0,0,2019,SRH,rashidkhan,https://scores.iplt20.com/ipl/playerimages/Rashid%20Khan.png
392,10,Lasith Malinga,12,12,45.0,438,16,5/13,27.37,9.76,16.81,2,0,2019,MI,lasithmalinga,https://scores.iplt20.com/ipl/playerimages/Lasith%20Malinga.png
393,11,Harbhajan Singh,11,11,44.0,312,16,5/18,19.5,7.09,16.5,0,0,2019,CSK,harbhajansingh,https://scores.iplt20.com/ipl/playerimages/Harbhajan%20Singh.png
394,12,Ravichandran Ashwin,14,14,55.0,400,15,4/34,26.66,7.27,22.0,0,0,2019,PBKS,ravichandranashwin,https://scores.iplt20.com/ipl/playerimages/Ravichandran%20Ashwin.png
395,13,Ravindra Jadeja,16,16,54.0,343,15,5/16,22.86,6.35,21.6,0,0,2019,CSK,ravindrajadeja,https://scores.iplt20.com/ipl/playerimages/Ravindra%20Jadeja.png
396,14,Hardik Pandya,16,16,42.0,390,14,3/20,27.85,9.17,18.21,0,0,2019,MI,hardikpandya,https://scores.iplt20.com/ipl/playerimages/Hardik%20Pandya.png
397,15,Chris Morris,9,9,33.0,306,13,4/23,23.53,9.27,15.23,0,0,2019,DC,chrismorris,https://scores.iplt20.com/ipl/playerimages/Chris%20Morris.png
398,16,Rahul Chahar,13,13,47.0,308,13,4/27,23.69,6.55,21.69,0,0,2019,MI,rahulchahar,https://scores.iplt20.com/ipl/playerimages/Rahul%20Chahar.png
399,17,Ishant Sharma,13,13,46.0,349,13,5/12,26.84,7.58,21.23,0,0,2019,DC,ishantsharma,https://scores.iplt20.com/ipl/playerimages/Ishant%20Sharma.png
400,18,Bhuvneshwar Kumar,15,15,59.0,461,13,5/19,35.46,7.81,27.23,0,0,2019,SRH,bhuvneshwarkumar,https://scores.iplt20.com/ipl/playerimages/Bhuvneshwar%20Kumar.png
401,19,Krunal Pandya,16,16,46.0,335,12,3/14,27.91,7.28,23.0,0,0,2019,MI,krunalpandya,https://scores.iplt20.com/ipl/playerimages/Krunal%20Pandya.png
402,20,Sandeep Sharma,11,11,42.0,352,12,4/20,29.33,8.25,21.33,0,0,2019,SRH,sandeepsharma,https://scores.iplt20.com/ipl/playerimages/Sandeep%20Sharma.png
403,21,Dwayne Bravo,12,12,41.0,330,11,4/22,30.0,8.01,22.45,0,0,2019,CSK,dwaynebravo,https://scores.iplt20.com/ipl/playerimages/Dwayne%20Bravo.png
404,22,Amit Mishra,11,11,40.0,270,11,5/17,24.54,6.75,21.81,0,0,2019,DC,amitmishra,https://scores.iplt20.com/ipl/playerimages/Amit%20Mishra.png
405,23,Andre Russell,14,12,30.0,287,11,5/15,26.09,9.51,16.45,0,0,2019,KKR,andrerussell,https://scores.iplt20.com/ipl/playerimages/Andre%20Russell.png
406,24,Navdeep Saini,13,13,48.0,397,11,2/24,36.09,8.27,26.18,0,0,2019,RCB,navdeepsaini,https://scores.iplt20.com/ipl/playerimages/Navdeep%20Saini.png
407,25,Jofra Archer,11,11,43.0,291,11,3/15,26.45,6.76,23.45,0,0,2019,RR,jofraarcher,https://scores.iplt20.com/ipl/playerimages/Jofra%20Archer.png
408,26,Sam Curran,9,9,33.0,323,10,4/11,32.3,9.78,19.8,1,0,2019,PBKS,samcurran,https://scores.iplt20.com/ipl/playerimages/Sam%20Curran.png
409,27,Axar Patel,14,14,51.0,364,10,4/21,36.4,7.13,30.6,0,0,2019,DC,axarpatel,https://scores.iplt20.com/ipl/playerimages/Axar%20Patel.png
410,28,Piyush Chawla,13,13,44.0,399,10,4/17,39.9,8.96,26.7,0,0,2019,KKR,piyushchawla,https://scores.iplt20.com/ipl/playerimages/Piyush%20Chawla.png
411,29,Sunil Narine,12,12,44.0,347,10,5/19,34.7,7.82,26.6,0,0,2019,KKR,sunilnarine,https://scores.iplt20.com/ipl/playerimages/Sunil%20Narine.png
412,30,Jaydev Unadkat,11,11,37.0,398,10,5/25,39.8,10.66,22.4,0,0,2019,RR,jaydevunadkat,https://scores.iplt20.com/ipl/playerimages/Jaydev%20Unadkat.png
413,31,Keemo Paul,8,8,27.0,237,9,3/17,26.33,8.72,18.11,0,0,2019,DC,keemopaul,https://scores.iplt20.com/ipl/playerimages/Keemo%20Paul.png
414,32,Shardul Thakur,10,9,30.0,281,8,3/19,35.12,9.36,22.5,0,0,2019,CSK,shardulthakur,https://scores.iplt20.com/ipl/playerimages/Shardul%20Thakur.png
415,33,Mohammad Nabi,8,8,29.0,194,8,4/11,24.25,6.65,21.87,1,0,2019,SRH,mohammadnabi,https://scores.iplt20.com/ipl/playerimages/Mohammad%20Nabi.png
416,34,Umesh Yadav,11,11,38.0,371,8,4/24,46.37,9.8,28.37,0,0,2019,RCB,umeshyadav,https://scores.iplt20.com/ipl/playerimages/Umesh%20Yadav.png
417,35,Sandeep Lamichhane,6,6,23.0,210,8,3/36,26.25,9.13,17.25,0,0,2019,DC,sandeeplamichhane,https://scores.iplt20.com/ipl/playerimages/Sandeep%20Lamichhane.png
418,36,Mohammed Siraj,9,9,28.0,269,7,4/32,38.42,9.55,24.14,0,0,2019,RCB,mohammedsiraj,https://scores.iplt20.com/ipl/playerimages/Mohammed%20Siraj.png
419,37,Harry Gurney,8,8,27.0,238,7,2/25,34.0,8.81,23.14,0,0,2019,KKR,harrygurney,https://scores.iplt20.com/ipl/playerimages/Harry%20Gurney.png
420,38,Hardus Viljoen,6,6,23.0,222,7,2/39,31.71,9.65,19.71,0,0,2019,PBKS,hardusviljoen,https://scores.iplt20.com/ipl/playerimages/Hardus%20Viljoen.png
421,39,Siddarth Kaul,7,7,27.0,242,6,4/29,40.33,8.96,27.0,0,0,2019,SRH,siddarthkaul,https://scores.iplt20.com/ipl/playerimages/Siddarth%20Kaul.png
422,40,Moeen Ali,11,9,25.0,169,6,3/7,28.16,6.76,25.0,0,0,2019,RCB,moeenali,https://scores.iplt20.com/ipl/playerimages/Moeen%20Ali.png
423,41,Alzarri Joseph,3,3,8.0,87,6,6/12,14.5,10.03,8.66,0,1,2019,MI,alzarrijoseph,https://scores.iplt20.com/ipl/playerimages/Alzarri%20Joseph.png
424,42,Dhawal Kulkarni,10,10,35.0,335,6,4/14,55.83,9.57,35.0,0,0,2019,RR,dhawalkulkarni,https://scores.iplt20.com/ipl/playerimages/Dhawal%20Kulkarni.png
425,43,Ben Stokes,9,6,17.0,189,6,3/15,31.5,11.22,16.83,0,0,2019,RR,benstokes,https://scores.iplt20.com/ipl/playerimages/Ben%20Stokes.png
426,44,Jason Behrendorff,5,5,19.0,165,5,2/22,33.0,8.68,22.8,0,0,2019,MI,jasonbehrendorff,https://scores.iplt20.com/ipl/playerimages/Jason%20Behrendorff.png
427,45,Trent Boult,5,5,19.0,163,5,4/18,32.6,8.57,22.8,0,0,2019,DC,trentboult,https://scores.iplt20.com/ipl/playerimages/Trent%20Boult.png
428,46,Oshane Thomas,4,4,10.0,79,5,2/6,15.8,7.9,12.0,0,0,2019,RR,oshanethomas,https://scores.iplt20.com/ipl/playerimages/Oshane%20Thomas.png
429,47,Murugan Ashwin,10,10,34.0,255,5,3/21,51.0,7.5,40.8,0,0,2019,PBKS,muruganashwin,https://scores.iplt20.com/ipl/playerimages/Murugan%20Ashwin.png
430,48,Washington Sundar,3,3,9.0,74,4,3/16,18.5,8.22,13.5,0,0,2019,RCB,washingtonsundar,https://scores.iplt20.com/ipl/playerimages/Washington%20Sundar.png
431,49,Dale Steyn,2,2,8.0,69,4,3/11,17.25,8.62,12.0,0,0,2019,RCB,dalesteyn,https://scores.iplt20.com/ipl/playerimages/Dale%20Steyn.png
432,50,Ish Sodhi,2,2,7.0,67,4,3/26,16.75,9.34,10.75,0,0,2019,RR,ishsodhi,https://scores.iplt20.com/ipl/playerimages/Ish%20Sodhi.png
433,51,Prasidh Krishna,11,11,40.0,377,4,4/30,94.25,9.34,60.5,0,0,2019,KKR,prasidhkrishna,https://scores.iplt20.com/ipl/playerimages/Prasidh%20Krishna.png
434,52,Kuldeep Yadav,9,9,33.0,286,4,4/20,71.5,8.66,49.5,0,0,2019,KKR,kuldeepyadav,https://scores.iplt20.com/ipl/playerimages/Kuldeep%20Yadav.png
435,53,Mitchell Santner,4,4,14.0,94,4,2/13,23.5,6.71,21.0,0,0,2019,CSK,mitchellsantner,https://scores.iplt20.com/ipl/playerimages/Mitchell%20Santner.png
436,54,Varun Aaron,5,5,12.0,116,4,3/16,29.0,9.66,18.0,0,0,2019,RR,varunaaron,https://scores.iplt20.com/ipl/playerimages/Varun%20Aaron.png
437,55,Mujeeb Ur Rahman,5,5,19.0,191,3,3/27,63.66,10.05,38.0,0,0,2019,PBKS,mujeeburrahman,https://scores.iplt20.com/ipl/playerimages/Mujeeb%20Ur%20Rahman.png
438,56,Arshdeep Singh,3,3,10.0,109,3,5/32,36.33,10.9,20.0,0,0,2019,PBKS,arshdeepsingh,https://scores.iplt20.com/ipl/playerimages/Arshdeep%20Singh.png
439,57,Nitish Rana,14,6,8.0,72,3,2/11,24.0,9.0,16.0,0,0,2019,KKR,nitishrana,https://scores.iplt20.com/ipl/playerimages/Nitish%20Rana.png
440,58,Ankit Rajpoot,4,4,16.0,152,3,5/14,50.66,9.5,32.0,0,0,2019,PBKS,ankitrajpoot,https://scores.iplt20.com/ipl/playerimages/Ankit%20Rajpoot.png
441,59,Pawan Negi,7,4,11.0,102,3,4/18,34.0,9.13,22.33,0,0,2019,RCB,pawannegi,https://scores.iplt20.com/ipl/playerimages/Pawan%20Negi.png
442,60,Andrew Tye,6,6,22.0,233,3,5/17,77.66,10.59,44.0,0,0,2019,PBKS,andrewtye,https://scores.iplt20.com/ipl/playerimages/Andrew%20Tye.png
443,61,Mitchell McClenaghan,5,5,18.0,142,3,4/21,47.33,7.88,36.0,0,0,2019,MI,mitchellmcclenaghan,https://scores.iplt20.com/ipl/playerimages/Mitchell%20McClenaghan.png
444,62,Shakib Al Hasan,3,3,11.0,95,2,3/17,47.5,8.76,32.5,0,0,2019,SRH,shakibalhasan,https://scores.iplt20.com/ipl/playerimages/Shakib%20Al%20Hasan.png
445,63,Shahbaz Nadeem,3,3,9.0,90,2,3/16,45.0,10.0,27.0,0,0,2019,SRH,shahbaznadeem,https://scores.iplt20.com/ipl/playerimages/Shahbaz%20Nadeem.png
446,64,Scott Kuggeleijn,2,2,8.0,71,2,2/37,35.5,8.87,24.0,0,0,2019,CSK,scottkuggeleijn,https://scores.iplt20.com/ipl/playerimages/Scott%20Kuggeleijn.png
447,65,Sandeep Warrier,3,3,12.0,85,2,2/31,42.5,7.08,36.0,0,0,2019,KKR,sandeepwarrier,https://scores.iplt20.com/ipl/playerimages/Sandeep%20Warrier.png
448,66,Marcus Stoinis,10,6,16.0,145,2,4/15,72.5,8.7,50.0,0,0,2019,RCB,marcusstoinis,https://scores.iplt20.com/ipl/playerimages/Marcus%20Stoinis.png
449,67,Riyan Parag,7,7,14.0,121,2,1/10,60.5,8.64,42.0,0,0,2019,RR,riyanparag,https://scores.iplt20.com/ipl/playerimages/Riyan%20Parag.png
450,68,Harshal Patel,2,2,8.0,77,2,5/27,38.5,9.62,24.0,0,0,2019,DC,harshalpatel,https://scores.iplt20.com/ipl/playerimages/Harshal%20Patel.png
451,69,Rahul Tewatia,5,3,6.0,42,2,3/18,21.0,6.63,19.0,0,0,2019,DC,rahultewatia,https://scores.iplt20.com/ipl/playerimages/Rahul%20Tewatia.png
452,70,Jagadeesha Suchith,1,1,4.0,28,2,2/14,14.0,7.0,12.0,0,0,2019,DC,jagadeeshasuchith,https://scores.iplt20.com/ipl/playerimages/Jagadeesha%20Suchith.png
453,71,Lockie Ferguson,5,5,17.0,183,2,3/15,91.5,10.76,51.0,0,0,2019,KKR,lockieferguson,https://scores.iplt20.com/ipl/playerimages/Lockie%20Ferguson.png
454,72,Abhishek Sharma,3,2,2.0,21,1,2/4,21.0,10.5,12.0,0,0,2019,SRH,abhisheksharma,https://scores.iplt20.com/ipl/playerimages/Abhishek%20Sharma.png
455,73,Deepak Hooda,11,2,2.0,21,1,2/16,21.0,10.5,12.0,0,0,2019,SRH,deepakhooda,https://scores.iplt20.com/ipl/playerimages/Deepak%20Hooda.png
456,74,Vijay Shankar,15,5,8.0,70,1,2/19,70.0,8.75,48.0,0,0,2019,SRH,vijayshankar,https://scores.iplt20.com/ipl/playerimages/Vijay%20Shankar.png
457,75,Varun Chakaravarthy,1,1,3.0,35,1,5/20,35.0,11.66,18.0,0,0,2019,PBKS,varunchakaravarthy,https://scores.iplt20.com/ipl/playerimages/Varun%20Chakaravarthy.png
458,76,Mayank Markande,3,3,6.0,59,1,4/23,59.0,9.83,36.0,0,0,2019,MI,mayankmarkande,https://scores.iplt20.com/ipl/playerimages/Mayank%20Markande.png
459,77,Kulwant Khejroliya,2,2,5.0,47,1,2/33,47.0,9.4,30.0,0,0,2019,RCB,kulwantkhejroliya,https://scores.iplt20.com/ipl/playerimages/Kulwant%20Khejroliya.png
460,78,Krishnappa Gowtham,7,7,20.0,166,1,2/12,166.0,8.3,120.0,0,0,2019,RR,krishnappagowtham,https://scores.iplt20.com/ipl/playerimages/Krishnappa%20Gowtham.png
461,79,Tim Southee,3,3,9.0,118,1,3/24,118.0,13.11,54.0,0,0,2019,RCB,timsouthee,https://scores.iplt20.com/ipl/playerimages/Tim%20Southee.png
462,80,Karn Sharma,1,1,3.0,33,1,4/16,33.0,11.64,17.0,0,0,2019,CSK,karnsharma,https://scores.iplt20.com/ipl/playerimages/Karn%20Sharma.png
463,81,Stuart Binny,8,5,7.0,44,1,2/14,44.0,6.28,42.0,0,0,2019,RR,stuartbinny,https://scores.iplt20.com/ipl/playerimages/Stuart%20Binny.png
464,82,Anukul Roy,1,1,2.0,11,1,1/11,11.0,5.5,12.0,0,0,2019,MI,anukulroy,https://scores.iplt20.com/ipl/playerimages/Anukul%20Roy.png
465,83,Mohit Sharma,1,1,3.0,27,1,4/14,27.0,9.0,18.0,0,0,2019,CSK,mohitsharma,https://scores.iplt20.com/ipl/playerimages/Mohit%20Sharma.png
466,84,Sherfane Rutherford,7,6,7.0,59,1,1/6,59.0,8.63,41.0,0,0,2019,DC,sherfanerutherford,https://scores.iplt20.com/ipl/playerimages/Sherfane%20Rutherford.png
467,85,Ben Cutting,3,1,2.0,27,1,2/20,27.0,13.5,12.0,0,0,2019,MI,bencutting,https://scores.iplt20.com/ipl/playerimages/Ben%20Cutting.png
468,86,Jayant Yadav,2,2,7.0,50,1,1/23,50.0,7.14,42.0,0,0,2019,MI,jayantyadav,https://scores.iplt20.com/ipl/playerimages/Jayant%20Yadav.png
469,87,Prithvi Raj Yarra,2,2,5.0,57,1,1/29,57.0,11.4,30.0,0,0,2019,KKR,prithvirajyarra,https://scores.iplt20.com/ipl/playerimages/Prithvi%20Raj%20Yarra.png
470,1,Andrew Tye,14,14,56.0,448,24,5/17,18.66,8.0,14.0,3,0,2018,PBKS,andrewtye,https://scores.iplt20.com/ipl/playerimages/Andrew%20Tye.png
471,2,Siddarth Kaul,17,17,66.0,547,21,4/29,26.04,8.28,18.85,0,0,2018,SRH,siddarthkaul,https://scores.iplt20.com/ipl/playerimages/Siddarth%20Kaul.png
472,3,Rashid Khan,17,17,68.0,458,21,3/19,21.8,6.73,19.42,0,0,2018,SRH,rashidkhan,https://scores.iplt20.com/ipl/playerimages/Rashid%20Khan.png
473,4,Umesh Yadav,14,14,53.0,418,20,4/24,20.9,7.86,15.95,0,0,2018,RCB,umeshyadav,https://scores.iplt20.com/ipl/playerimages/Umesh%20Yadav.png
474,5,Hardik Pandya,13,13,42.0,381,18,3/20,21.16,8.92,14.22,0,0,2018,MI,hardikpandya,https://scores.iplt20.com/ipl/playerimages/Hardik%20Pandya.png
475,6,Trent Boult,14,14,52.0,466,18,4/18,25.88,8.84,17.55,0,0,2018,DC,trentboult,https://scores.iplt20.com/ipl/playerimages/Trent%20Boult.png
476,7,Jasprit Bumrah,14,14,54.0,372,17,4/14,21.88,6.88,19.05,0,0,2018,MI,jaspritbumrah,https://scores.iplt20.com/ipl/playerimages/Jasprit%20Bumrah.png
477,8,Sunil Narine,16,16,61.0,467,17,5/19,27.47,7.65,21.52,0,0,2018,KKR,sunilnarine,https://scores.iplt20.com/ipl/playerimages/Sunil%20Narine.png
478,9,Kuldeep Yadav,16,16,51.0,418,17,4/20,24.58,8.14,18.11,1,0,2018,KKR,kuldeepyadav,https://scores.iplt20.com/ipl/playerimages/Kuldeep%20Yadav.png
479,10,Shardul Thakur,13,13,46.0,431,16,3/19,26.93,9.23,17.5,0,0,2018,CSK,shardulthakur,https://scores.iplt20.com/ipl/playerimages/Shardul%20Thakur.png
480,11,Jofra Archer,10,10,39.0,325,15,3/15,21.66,8.36,15.53,0,0,2018,RR,jofraarcher,https://scores.iplt20.com/ipl/playerimages/Jofra%20Archer.png
481,12,Mayank Markande,14,14,44.0,368,15,4/23,24.53,8.36,17.6,1,0,2018,MI,mayankmarkande,https://scores.iplt20.com/ipl/playerimages/Mayank%20Markande.png
482,13,Dwayne Bravo,16,16,53.0,533,14,4/22,38.07,9.96,22.92,0,0,2018,CSK,dwaynebravo,https://scores.iplt20.com/ipl/playerimages/Dwayne%20Bravo.png
483,14,Mitchell McClenaghan,11,11,40.0,332,14,4/21,23.71,8.3,17.14,0,0,2018,MI,mitchellmcclenaghan,https://scores.iplt20.com/ipl/playerimages/Mitchell%20McClenaghan.png
484,15,Mujeeb Ur Rahman,11,11,41.0,289,14,3/27,20.64,6.99,17.71,0,0,2018,PBKS,mujeeburrahman,https://scores.iplt20.com/ipl/playerimages/Mujeeb%20Ur%20Rahman.png
485,16,Piyush Chawla,15,15,49.0,412,14,4/17,29.42,8.4,21.0,0,0,2018,KKR,piyushchawla,https://scores.iplt20.com/ipl/playerimages/Piyush%20Chawla.png
486,17,Shakib Al Hasan,17,17,57.0,456,14,3/17,32.57,8.0,24.42,0,0,2018,SRH,shakibalhasan,https://scores.iplt20.com/ipl/playerimages/Shakib%20Al%20Hasan.png
487,18,Andre Russell,16,15,38.0,355,13,5/15,27.3,9.38,17.46,0,0,2018,KKR,andrerussell,https://scores.iplt20.com/ipl/playerimages/Andre%20Russell.png
488,19,Sandeep Sharma,12,12,44.0,333,12,4/20,27.75,7.56,22.0,0,0,2018,SRH,sandeepsharma,https://scores.iplt20.com/ipl/playerimages/Sandeep%20Sharma.png
489,20,Krunal Pandya,14,13,40.0,284,12,3/14,23.66,7.07,20.08,0,0,2018,MI,krunalpandya,https://scores.iplt20.com/ipl/playerimages/Krunal%20Pandya.png
490,21,Amit Mishra,10,10,37.0,264,12,5/17,22.0,7.13,18.5,0,0,2018,DC,amitmishra,https://scores.iplt20.com/ipl/playerimages/Amit%20Mishra.png
491,22,Yuzvendra Chahal,14,14,50.0,363,12,4/25,30.25,7.26,25.0,0,0,2018,RCB,yuzvendrachahal,https://scores.iplt20.com/ipl/playerimages/Yuzvendra%20Chahal.png
492,23,Ankit Rajpoot,8,8,26.0,223,11,5/14,20.27,8.52,14.27,0,1,2018,PBKS,ankitrajpoot,https://scores.iplt20.com/ipl/playerimages/Ankit%20Rajpoot.png
493,24,Mohammed Siraj,11,11,41.0,367,11,4/32,33.36,8.95,22.36,0,0,2018,RCB,mohammedsiraj,https://scores.iplt20.com/ipl/playerimages/Mohammed%20Siraj.png
494,25,Lungi Ngidi,7,7,26.0,156,11,4/10,14.18,6.0,14.18,1,0,2018,CSK,lungingidi,https://scores.iplt20.com/ipl/playerimages/Lungi%20Ngidi.png
495,26,Krishnappa Gowtham,15,15,40.0,312,11,2/12,28.36,7.8,21.81,0,0,2018,RR,krishnappagowtham,https://scores.iplt20.com/ipl/playerimages/Krishnappa%20Gowtham.png
496,27,Ravindra Jadeja,16,14,41.0,303,11,5/16,27.54,7.39,22.36,0,0,2018,CSK,ravindrajadeja,https://scores.iplt20.com/ipl/playerimages/Ravindra%20Jadeja.png
497,28,Jaydev Unadkat,15,15,50.0,486,11,5/25,44.18,9.65,27.45,0,0,2018,RR,jaydevunadkat,https://scores.iplt20.com/ipl/playerimages/Jaydev%20Unadkat.png
498,29,Shreyas Gopal,11,10,31.0,236,11,4/16,21.45,7.61,16.9,1,0,2018,RR,shreyasgopal,https://scores.iplt20.com/ipl/playerimages/Shreyas%20Gopal.png
499,30,Deepak Chahar,12,12,38.0,278,10,4/13,27.8,7.28,22.9,0,0,2018,CSK,deepakchahar,https://scores.iplt20.com/ipl/playerimages/Deepak%20Chahar.png
500,31,Prasidh Krishna,7,7,28.0,260,10,4/30,26.0,9.28,16.8,1,0,2018,KKR,prasidhkrishna,https://scores.iplt20.com/ipl/playerimages/Prasidh%20Krishna.png
501,32,Ravichandran Ashwin,14,14,50.0,410,10,4/34,41.0,8.09,30.4,0,0,2018,PBKS,ravichandranashwin,https://scores.iplt20.com/ipl/playerimages/Ravichandran%20Ashwin.png
502,33,Ben Laughlin,7,7,21.0,211,9,2/15,23.44,10.04,14.0,0,0,2018,RR,benlaughlin,https://scores.iplt20.com/ipl/playerimages/Ben%20Laughlin.png
503,34,Bhuvneshwar Kumar,12,12,46.0,354,9,5/19,39.33,7.66,30.77,0,0,2018,SRH,bhuvneshwarkumar,https://scores.iplt20.com/ipl/playerimages/Bhuvneshwar%20Kumar.png
504,35,Chris Woakes,5,5,18.0,190,8,3/36,23.75,10.36,13.75,0,0,2018,RCB,chriswoakes,https://scores.iplt20.com/ipl/playerimages/Chris%20Woakes.png
505,36,Ben Stokes,13,12,37.0,303,8,3/15,37.87,8.18,27.75,0,0,2018,RR,benstokes,https://scores.iplt20.com/ipl/playerimages/Ben%20Stokes.png
506,37,Harshal Patel,5,5,17.0,167,7,5/27,23.85,9.54,15.0,0,0,2018,DC,harshalpatel,https://scores.iplt20.com/ipl/playerimages/Harshal%20Patel.png
507,38,Mohit Sharma,9,9,29.0,322,7,4/14,46.0,10.85,25.42,0,0,2018,PBKS,mohitsharma,https://scores.iplt20.com/ipl/playerimages/Mohit%20Sharma.png
508,39,Mustafizur Rahman,7,7,27.0,230,7,3/16,32.85,8.36,23.57,0,0,2018,MI,mustafizurrahman,https://scores.iplt20.com/ipl/playerimages/Mustafizur%20Rahman.png
509,40,Harbhajan Singh,13,12,32.0,270,7,5/18,38.57,8.48,27.28,0,0,2018,CSK,harbhajansingh,https://scores.iplt20.com/ipl/playerimages/Harbhajan%20Singh.png
510,41,Imran Tahir,6,6,20.0,188,6,4/12,31.33,9.09,20.66,0,0,2018,CSK,imrantahir,https://scores.iplt20.com/ipl/playerimages/Imran%20Tahir.png
511,42,Tom Curran,5,5,10.0,118,6,3/29,19.66,11.6,10.16,0,0,2018,KKR,tomcurran,https://scores.iplt20.com/ipl/playerimages/Tom%20Curran.png
512,43,Rahul Tewatia,8,8,22.0,173,6,3/18,28.83,7.86,22.0,0,0,2018,DC,rahultewatia,https://scores.iplt20.com/ipl/playerimages/Rahul%20Tewatia.png
513,44,Shane Watson,15,11,28.0,251,6,4/29,41.83,8.96,28.0,0,0,2018,CSK,shanewatson,https://scores.iplt20.com/ipl/playerimages/Shane%20Watson.png
514,45,Tim Southee,8,8,29.0,261,5,3/24,52.2,9.0,34.8,0,0,2018,RCB,timsouthee,https://scores.iplt20.com/ipl/playerimages/Tim%20Southee.png
515,46,Sandeep Lamichhane,3,3,12.0,82,5,3/36,16.4,6.83,14.4,0,0,2018,DC,sandeeplamichhane,https://scores.iplt20.com/ipl/playerimages/Sandeep%20Lamichhane.png
516,47,Basil Thampi,4,4,10.0,114,5,3/29,22.8,11.21,12.2,0,0,2018,SRH,basilthampi,https://scores.iplt20.com/ipl/playerimages/Basil%20Thampi.png
517,48,Shivam Mavi,9,9,28.0,270,5,4/21,54.0,9.64,33.6,0,0,2018,KKR,shivammavi,https://scores.iplt20.com/ipl/playerimages/Shivam%20Mavi.png
518,49,Billy Stanlake,4,4,16.0,130,5,2/21,26.0,8.12,19.2,0,0,2018,SRH,billystanlake,https://scores.iplt20.com/ipl/playerimages/Billy%20Stanlake.png
519,50,Carlos Brathwaite,4,4,10.0,94,5,3/43,18.8,9.24,12.2,0,0,2018,SRH,carlosbrathwaite,https://scores.iplt20.com/ipl/playerimages/Carlos%20Brathwaite.png
520,51,Glenn Maxwell,12,10,16.0,132,5,2/15,26.4,8.25,19.2,0,0,2018,DC,glennmaxwell,https://scores.iplt20.com/ipl/playerimages/Glenn%20Maxwell.png
521,52,Ish Sodhi,6,6,23.0,135,5,3/26,27.0,5.86,27.6,0,0,2018,RR,ishsodhi,https://scores.iplt20.com/ipl/playerimages/Ish%20Sodhi.png
522,53,Dhawal Kulkarni,8,8,20.0,188,4,4/14,47.0,9.47,29.75,0,0,2018,RR,dhawalkulkarni,https://scores.iplt20.com/ipl/playerimages/Dhawal%20Kulkarni.png
523,54,Washington Sundar,7,7,20.0,192,4,3/16,48.0,9.6,30.0,0,0,2018,RCB,washingtonsundar,https://scores.iplt20.com/ipl/playerimages/Washington%20Sundar.png
524,55,Avesh Khan,6,6,19.0,204,4,3/13,51.0,10.73,28.5,0,0,2018,DC,aveshkhan,https://scores.iplt20.com/ipl/playerimages/Avesh%20Khan.png
525,56,Nitish Rana,15,5,6.0,44,4,2/11,11.0,7.13,9.25,0,0,2018,KKR,nitishrana,https://scores.iplt20.com/ipl/playerimages/Nitish%20Rana.png
526,57,Barinder Sran,6,6,22.0,229,4,3/28,57.25,10.4,33.0,0,0,2018,PBKS,barindersran,https://scores.iplt20.com/ipl/playerimages/Barinder%20Sran.png
527,58,Dan Christian,4,4,12.0,101,4,2/10,25.25,8.53,17.75,0,0,2018,DC,danchristian,https://scores.iplt20.com/ipl/playerimages/Dan%20Christian.png
528,59,Liam Plunkett,7,7,25.0,225,4,3/17,56.25,9.0,37.5,0,0,2018,DC,liamplunkett,https://scores.iplt20.com/ipl/playerimages/Liam%20Plunkett.png
